ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.375562,,,,,,,,,,,,,,,63d711b1-2517-4b73-b5f5-349f72eb5846,49,,,"[48.2, 61.9]",3754041,0,,,,,-1.6707333,,Right Foot,,,"[44.5, 25.0]",,Ground Pass,,37.085037,,,,Laurent Koscielny,3394.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Right Center Back,2,Arsenal,1,['a1d7a1cb-cb9a-4c17-abe4-c29bbab2b077'],34,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:34.046,Pass,
,,,,,,,,,,,,,,,1.08831,,,,,,,,,,,,,,,7dbdc8c9-5af9-470a-82a6-696a3e3c7989,52,,,"[46.2, 24.8]",3754041,0,,,,,-0.9572959,,Right Foot,,,"[58.1, 7.9]",,Ground Pass,,20.6693,,,,Ignacio Monreal Eraso,3498.0,,,,,,,1,From Kick Off,Laurent Koscielny,3394.0,Left Center Back,2,Arsenal,1,['3c56fca7-e487-4582-ac39-64ce615caa19'],36,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:36.355,Pass,
,,,,,,,,,,,,,,,0.849732,,,,,,,,,,,,,,,8db87438-96ff-4133-93ce-d7da33433c4b,55,,,"[60.1, 9.2]",3754041,0,,,,,-0.45106965,,Left Foot,,,"[72.9, 3.0]",,Ground Pass,,14.222517,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['3863b14c-139c-4bd5-8698-1bb1555d557f'],38,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:38.709,Pass,
,,,,,,,,,,,,,,,1.263809,,,,,,,,,,,,,,,613b2056-3125-47b5-9730-88ae6546709d,59,,,"[71.1, 3.0]",3754041,0,,,,,2.9957817,,Right Foot,,,"[56.8, 5.1]",,Ground Pass,,14.453373,,,,Ignacio Monreal Eraso,3498.0,,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,2,Arsenal,1,"['3a9cc6ef-a949-4142-aabe-181771171026', 'e4ffa723-4476-47ea-8897-47148ce9062a']",39,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:39.734,Pass,True
,,,,,,,,,,,,,,,1.325081,,,,,,,,,,,,,,,95aa739f-9946-473e-bac5-d31820f5b738,62,,,"[56.8, 6.4]",3754041,0,,,,,2.3280895,,Left Foot,,,"[44.7, 19.2]",,Ground Pass,,17.613914,,,,Laurent Koscielny,3394.0,,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['3a2cf42f-729f-43b1-bb4b-39012739b04b'],42,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:42.240,Pass,
,,,,,,,,,,,,,,,1.922324,,,,,,,,,,,,,,,fe8bb8d4-b3ac-44ca-b9a0-2d6edd122a3e,65,,,"[43.4, 20.9]",3754041,0,,,,,1.6870785,,Right Foot,,,"[39.3, 56.0]",,Ground Pass,,35.338646,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Laurent Koscielny,3394.0,Left Center Back,2,Arsenal,1,['a8651465-d2bc-471c-a456-ad3bff2230d0'],44,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:44.420,Pass,
,,,,,,,,,,,,,,,1.408611,,,,,,,,,,,,,,,e2255805-8e06-4dbe-9c3b-1a72c65bbc2d,68,,,"[39.9, 56.9]",3754041,0,,,,,1.0044957,,Right Foot,,,"[49.5, 72.0]",,Ground Pass,,17.893295,,,,Héctor Bellerín Moruno,3511.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Right Center Back,2,Arsenal,1,['91c32cbb-955b-424a-b640-c3eebbb3c39e'],47,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:47.480,Pass,
,,,,,,,,,,,,,,,1.753616,,,,,,,,,,,,,,,1e926cd9-e3e6-44a8-8c90-e708e2e560fc,71,,,"[49.7, 72.0]",3754041,0,,,,,0.024033833,,Right Foot,,,"[70.5, 72.5]",,High Pass,,20.80601,,,,Santiago Cazorla González,11386.0,,,,,,,1,From Kick Off,Héctor Bellerín Moruno,3511.0,Right Back,2,Arsenal,1,['37c2bfad-cade-4f50-ad32-b0f7435c026f'],50,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:50.405,Pass,
,,,,,,,,,,,,,,,2.748811,,,,,,,,,,,,,,,ccde66e9-6c39-4950-8fc1-3f7274b87be7,74,,,"[71.6, 68.8]",3754041,0,,,,,-1.45265,,Left Foot,,,"[78.9, 7.3]",,High Pass,,61.931736,,,,Ignacio Monreal Eraso,3498.0,,,True,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Right Defensive Midfield,2,Arsenal,1,['db3eb708-1a68-4c6c-b912-f92f70af667b'],55,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:55.262,Pass,
,,,,,,,,,,,,,,,1.485807,,,,,,,,,,,,,,,2ebf3652-2529-4778-906d-08530c136220,77,,,"[78.9, 7.3]",3754041,0,,,,,0.026309717,,Other,,,"[86.5, 7.5]",,Low Pass,,7.602631,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['d4ec14eb-9bcf-4663-990f-ad04db017745'],58,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:58.166,Pass,
